4.0,4.666666666666667,5.333333333333333,6.0,6.666666666666666,7.333333333333333,8.0,8.666666666666666,9.333333333333332,10.0,10.666666666666666,11.333333333333332,12.0,12.666666666666666,13.333333333333332,14.0,14.666666666666666,15.333333333333332,16.0,16.666666666666664,17.333333333333332,18.0,18.666666666666664,19.333333333333332,20.0
0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0
DC_size, DC_shift, sort_size, sort_shift, number_of_rides
4.0,0.0,8.0,0,533
4.0,0.25,8.0,0,886
4.0,0.5,8.0,0,959
4.0,0.75,8.0,0,782
4.0,1.0,8.0,0,978
4.0,1.25,8.0,0,954
4.0,1.5,8.0,0,1123
4.0,1.75,8.0,0,935
4.0,2.0,8.0,0,1154
4.0,2.25,8.0,0,928
4.0,2.5,8.0,0,858
4.0,2.75,8.0,0,655
4.0,3.0,8.0,0,940
4.0,3.25,8.0,0,721
4.0,3.5,8.0,0,804
4.0,3.75,8.0,0,946
4.0,4.0,8.0,0,419
4.0,4.25,8.0,0,750
4.0,4.5,8.0,0,811
4.0,4.75,8.0,0,877
4.0,5.0,8.0,0,697
4.0,5.25,8.0,0,872
4.0,5.5,8.0,0,1132
4.0,5.75,8.0,0,934
4.0,6.0,8.0,0,1295
4.666666666666667,0.0,9.333333333333334,0,781
4.666666666666667,0.25,9.333333333333334,0,1040
4.666666666666667,0.5,9.333333333333334,0,1070
4.666666666666667,0.75,9.333333333333334,0,1145
4.666666666666667,1.0,9.333333333333334,0,1462
4.666666666666667,1.25,9.333333333333334,0,1194
4.666666666666667,1.5,9.333333333333334,0,1129
4.666666666666667,1.75,9.333333333333334,0,1277
4.666666666666667,2.0,9.333333333333334,0,1145
4.666666666666667,2.25,9.333333333333334,0,1453
4.666666666666667,2.5,9.333333333333334,0,1178
4.666666666666667,2.75,9.333333333333334,0,1012
4.666666666666667,3.0,9.333333333333334,0,1238
4.666666666666667,3.25,9.333333333333334,0,903
4.666666666666667,3.5,9.333333333333334,0,1146
4.666666666666667,3.75,9.333333333333334,0,1425
4.666666666666667,4.0,9.333333333333334,0,944
4.666666666666667,4.25,9.333333333333334,0,1141
4.666666666666667,4.5,9.333333333333334,0,1221
4.666666666666667,4.75,9.333333333333334,0,898
4.666666666666667,5.0,9.333333333333334,0,1256
4.666666666666667,5.25,9.333333333333334,0,1087
4.666666666666667,5.5,9.333333333333334,0,1110
4.666666666666667,5.75,9.333333333333334,0,1457
4.666666666666667,6.0,9.333333333333334,0,1208
5.333333333333333,0.0,10.666666666666666,0,757
5.333333333333333,0.25,10.666666666666666,0,1164
5.333333333333333,0.5,10.666666666666666,0,1232
5.333333333333333,0.75,10.666666666666666,0,1273
5.333333333333333,1.0,10.666666666666666,0,1529
5.333333333333333,1.25,10.666666666666666,0,1573
5.333333333333333,1.5,10.666666666666666,0,1318
5.333333333333333,1.75,10.666666666666666,0,1182
5.333333333333333,2.0,10.666666666666666,0,1373
5.333333333333333,2.25,10.666666666666666,0,1181
5.333333333333333,2.5,10.666666666666666,0,1193
5.333333333333333,2.75,10.666666666666666,0,1367
5.333333333333333,3.0,10.666666666666666,0,1248
5.333333333333333,3.25,10.666666666666666,0,1158
5.333333333333333,3.5,10.666666666666666,0,1305
5.333333333333333,3.75,10.666666666666666,0,1059
5.333333333333333,4.0,10.666666666666666,0,1144
5.333333333333333,4.25,10.666666666666666,0,1539
5.333333333333333,4.5,10.666666666666666,0,1100
5.333333333333333,4.75,10.666666666666666,0,1185
5.333333333333333,5.0,10.666666666666666,0,1324
5.333333333333333,5.25,10.666666666666666,0,573
5.333333333333333,5.5,10.666666666666666,0,1103
5.333333333333333,5.75,10.666666666666666,0,1276
5.333333333333333,6.0,10.666666666666666,0,1285
6.0,0.0,12.0,0,909
6.0,0.25,12.0,0,1474
6.0,0.5,12.0,0,1645
6.0,0.75,12.0,0,1849
6.0,1.0,12.0,0,1758
6.0,1.25,12.0,0,2026
6.0,1.5,12.0,0,2431
6.0,1.75,12.0,0,1634
6.0,2.0,12.0,0,1651
6.0,2.25,12.0,0,1655
6.0,2.5,12.0,0,1675
6.0,2.75,12.0,0,1691
6.0,3.0,12.0,0,1995
6.0,3.25,12.0,0,1677
6.0,3.5,12.0,0,1544
6.0,3.75,12.0,0,1925
6.0,4.0,12.0,0,1485
6.0,4.25,12.0,0,1345
6.0,4.5,12.0,0,1629
6.0,4.75,12.0,0,2077
6.0,5.0,12.0,0,1487
6.0,5.25,12.0,0,1425
6.0,5.5,12.0,0,1824
6.0,5.75,12.0,0,1626
6.0,6.0,12.0,0,975
6.666666666666666,0.0,13.333333333333332,0,932
6.666666666666666,0.25,13.333333333333332,0,1571
6.666666666666666,0.5,13.333333333333332,0,1760
6.666666666666666,0.75,13.333333333333332,0,1896
6.666666666666666,1.0,13.333333333333332,0,1830
6.666666666666666,1.25,13.333333333333332,0,2257
6.666666666666666,1.5,13.333333333333332,0,2340
6.666666666666666,1.75,13.333333333333332,0,1965
6.666666666666666,2.0,13.333333333333332,0,1891
6.666666666666666,2.25,13.333333333333332,0,1805
6.666666666666666,2.5,13.333333333333332,0,1678
6.666666666666666,2.75,13.333333333333332,0,1793
6.666666666666666,3.0,13.333333333333332,0,1844
6.666666666666666,3.25,13.333333333333332,0,2038
6.666666666666666,3.5,13.333333333333332,0,1995
6.666666666666666,3.75,13.333333333333332,0,1775
6.666666666666666,4.0,13.333333333333332,0,1810
6.666666666666666,4.25,13.333333333333332,0,1830
6.666666666666666,4.5,13.333333333333332,0,1625
6.666666666666666,4.75,13.333333333333332,0,1516
6.666666666666666,5.0,13.333333333333332,0,1696
6.666666666666666,5.25,13.333333333333332,0,2235
6.666666666666666,5.5,13.333333333333332,0,1994
6.666666666666666,5.75,13.333333333333332,0,1462
6.666666666666666,6.0,13.333333333333332,0,2030
7.333333333333333,0.0,14.666666666666666,0,1187
7.333333333333333,0.25,14.666666666666666,0,1604
7.333333333333333,0.5,14.666666666666666,0,1722
7.333333333333333,0.75,14.666666666666666,0,2036
7.333333333333333,1.0,14.666666666666666,0,2006
7.333333333333333,1.25,14.666666666666666,0,1983
7.333333333333333,1.5,14.666666666666666,0,2356
7.333333333333333,1.75,14.666666666666666,0,2363
7.333333333333333,2.0,14.666666666666666,0,2075
7.333333333333333,2.25,14.666666666666666,0,1983
7.333333333333333,2.5,14.666666666666666,0,1900
7.333333333333333,2.75,14.666666666666666,0,1931
7.333333333333333,3.0,14.666666666666666,0,1821
7.333333333333333,3.25,14.666666666666666,0,1776
7.333333333333333,3.5,14.666666666666666,0,2078
7.333333333333333,3.75,14.666666666666666,0,2024
7.333333333333333,4.0,14.666666666666666,0,2118
7.333333333333333,4.25,14.666666666666666,0,1734
7.333333333333333,4.5,14.666666666666666,0,2106
7.333333333333333,4.75,14.666666666666666,0,1865
7.333333333333333,5.0,14.666666666666666,0,1797
7.333333333333333,5.25,14.666666666666666,0,1539
7.333333333333333,5.5,14.666666666666666,0,1749
7.333333333333333,5.75,14.666666666666666,0,2322
7.333333333333333,6.0,14.666666666666666,0,2058
8.0,0.0,16.0,0,1141
8.0,0.25,16.0,0,1615
8.0,0.5,16.0,0,1879
8.0,0.75,16.0,0,2173
8.0,1.0,16.0,0,2232
8.0,1.25,16.0,0,2106
8.0,1.5,16.0,0,2286
8.0,1.75,16.0,0,2520
8.0,2.0,16.0,0,2650
8.0,2.25,16.0,0,2092
8.0,2.5,16.0,0,2165
8.0,2.75,16.0,0,1915
8.0,3.0,16.0,0,1951
8.0,3.25,16.0,0,1911
8.0,3.5,16.0,0,1894
8.0,3.75,16.0,0,2265
8.0,4.0,16.0,0,2306
8.0,4.25,16.0,0,2268
8.0,4.5,16.0,0,2077
8.0,4.75,16.0,0,2002
8.0,5.0,16.0,0,2276
8.0,5.25,16.0,0,1967
8.0,5.5,16.0,0,1951
8.0,5.75,16.0,0,1526
8.0,6.0,16.0,0,2279
8.666666666666666,0.0,17.333333333333332,0,1323
8.666666666666666,0.25,17.333333333333332,0,1649
8.666666666666666,0.5,17.333333333333332,0,1979
8.666666666666666,0.75,17.333333333333332,0,2235
8.666666666666666,1.0,17.333333333333332,0,2502
8.666666666666666,1.25,17.333333333333332,0,2584
8.666666666666666,1.5,17.333333333333332,0,2504
8.666666666666666,1.75,17.333333333333332,0,2513
8.666666666666666,2.0,17.333333333333332,0,2660
8.666666666666666,2.25,17.333333333333332,0,2956
8.666666666666666,2.5,17.333333333333332,0,2491
8.666666666666666,2.75,17.333333333333332,0,2148
8.666666666666666,3.0,17.333333333333332,0,1973
8.666666666666666,3.25,17.333333333333332,0,2042
8.666666666666666,3.5,17.333333333333332,0,2211
8.666666666666666,3.75,17.333333333333332,0,2423
8.666666666666666,4.0,17.333333333333332,0,2405
8.666666666666666,4.25,17.333333333333332,0,2458
8.666666666666666,4.5,17.333333333333332,0,2373
8.666666666666666,4.75,17.333333333333332,0,2401
8.666666666666666,5.0,17.333333333333332,0,2398
8.666666666666666,5.25,17.333333333333332,0,2469
8.666666666666666,5.5,17.333333333333332,0,2243
8.666666666666666,5.75,17.333333333333332,0,2040
8.666666666666666,6.0,17.333333333333332,0,2090
9.333333333333332,0.0,18.666666666666664,0,1328
9.333333333333332,0.25,18.666666666666664,0,1808
9.333333333333332,0.5,18.666666666666664,0,1898
9.333333333333332,0.75,18.666666666666664,0,2234
9.333333333333332,1.0,18.666666666666664,0,2440
9.333333333333332,1.25,18.666666666666664,0,2345
9.333333333333332,1.5,18.666666666666664,0,2347
9.333333333333332,1.75,18.666666666666664,0,2652
9.333333333333332,2.0,18.666666666666664,0,2677
9.333333333333332,2.25,18.666666666666664,0,2819
9.333333333333332,2.5,18.666666666666664,0,2445
9.333333333333332,2.75,18.666666666666664,0,2229
9.333333333333332,3.0,18.666666666666664,0,2244
9.333333333333332,3.25,18.666666666666664,0,2106
9.333333333333332,3.5,18.666666666666664,0,2061
9.333333333333332,3.75,18.666666666666664,0,2165
9.333333333333332,4.0,18.666666666666664,0,2030
9.333333333333332,4.25,18.666666666666664,0,2233
9.333333333333332,4.5,18.666666666666664,0,2532
9.333333333333332,4.75,18.666666666666664,0,2417
9.333333333333332,5.0,18.666666666666664,0,2434
9.333333333333332,5.25,18.666666666666664,0,2229
9.333333333333332,5.5,18.666666666666664,0,2143
9.333333333333332,5.75,18.666666666666664,0,2398
9.333333333333332,6.0,18.666666666666664,0,2235
10.0,0.0,20.0,0,1431
10.0,0.25,20.0,0,1679
10.0,0.5,20.0,0,2030
10.0,0.75,20.0,0,2180
10.0,1.0,20.0,0,2443
10.0,1.25,20.0,0,2473
10.0,1.5,20.0,0,2353
10.0,1.75,20.0,0,2470
10.0,2.0,20.0,0,2457
10.0,2.25,20.0,0,2801
10.0,2.5,20.0,0,2762
10.0,2.75,20.0,0,2440
10.0,3.0,20.0,0,2297
10.0,3.25,20.0,0,2250
10.0,3.5,20.0,0,2166
10.0,3.75,20.0,0,2021
10.0,4.0,20.0,0,2173
10.0,4.25,20.0,0,2002
10.0,4.5,20.0,0,2156
10.0,4.75,20.0,0,2614
10.0,5.0,20.0,0,2479
10.0,5.25,20.0,0,2386
10.0,5.5,20.0,0,2427
10.0,5.75,20.0,0,2133
10.0,6.0,20.0,0,2451
10.666666666666666,0.0,21.333333333333332,0,1527
10.666666666666666,0.25,21.333333333333332,0,1687
10.666666666666666,0.5,21.333333333333332,0,2081
10.666666666666666,0.75,21.333333333333332,0,2287
10.666666666666666,1.0,21.333333333333332,0,2363
10.666666666666666,1.25,21.333333333333332,0,2799
10.666666666666666,1.5,21.333333333333332,0,2459
10.666666666666666,1.75,21.333333333333332,0,2586
10.666666666666666,2.0,21.333333333333332,0,2652
10.666666666666666,2.25,21.333333333333332,0,2734
10.666666666666666,2.5,21.333333333333332,0,3057
10.666666666666666,2.75,21.333333333333332,0,3123
10.666666666666666,3.0,21.333333333333332,0,2430
